,companyName,auxiliaryName,businessIdentityCode,registerNumberInHomeState,address,address2,businessAddress,locationOfHeadOffice,zipCode,city,homeState,telephone,telefax,wwwAddress,groups,personsInCharge,supervisorsInFSA,authorisationsAndOtherOperationGrounds,providedServices,funds,principalOfAnAgent,servicesDescription,dateOfRegistration,reprimands,businessZipCode,businessCity,tiedAgents
17,Aktia Finance ltd,,2406310-2,,,,,,,,,,,,"[{'groupNumber': 4951, 'groupName': 'Removed from the register'}]",[],[],[],[],[],[],,,,,,[]
18,Aktia Fund Management Company Ltd,,0672513-3,,Mannerheimvägen 14,PB 695,,,00101,HELSINGFORS,Finland,09 010 247 6844,09 010 247 6849,http://www.aktia.fi,"[{'groupNumber': 2500, 'groupName': 'Management companies'}, {'groupNumber': 4937, 'groupName': 'Authorised Alternative Investment Fund Managers'}]",[],"[{'name': 'Raija Railas', 'telephoneNumber': '+358 9 183 5235', 'role': ''}, {'name': 'Kristian Nihtilä', 'telephoneNumber': '+358 9 183 5294', 'role': ' (principal)'}]","[{'authorisationName': 'Alternative Investment Fund Management - Real estate strategy'}, {'authorisationName': 'Alternative Investment Fund Management - Funds of funds strategy'}, {'authorisationName': 'Alternative Investment Fund Management - Other strategy'}, {'authorisationName': 'Investment fund activity'}, {'authorisationName': 'Activities related to investment funds'}]",[],"[{'fundName': 'Sijoitusrahasto Aktia Lyhyt Yrityskorko+', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Global', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Secura', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Capital', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Eurooppa', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Solida', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia America', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Corporate Bond+', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Nordic', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Government Bond+', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Emerging Market Bond+', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Korkosalkku', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Emerging Market Local Currency Bond+', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Nordic Small Cap', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Emerging Market Equity Select', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Europe Small Cap', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Erikoissijoitusrahasto Aktia SLS', 'fundType': 'Suomalainen erikoissijoitusrahasto'}, {'fundName': 'Sijoitusrahasto Aktia Emerging Market Local Currency Frontier Bond+', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Erikoissijoitusrahasto Aktia Commodity', 'fundType': 'Suomalainen erikoissijoitusrahasto'}, {'fundName': 'Sijoitusrahasto Aktia Nordic Micro Cap', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Emerging Market Corporate Bond+', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Erikoissijoitusrahasto Aktia Trade Finance', 'fundType': 'Suomalainen erikoissijoitusrahasto'}, {'fundName': 'Sijoitusrahasto Aktia Osakesalkku', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Erikoissijoitusrahasto Aktia Opportunistic Credit I', 'fundType': 'Suomalainen erikoissijoitusrahasto'}, {'fundName': 'Sijoitusrahasto Aktia Varainhoitosalkku 25', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Varainhoitosalkku 50', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Aktia Varainhoitosalkku 75', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Erikoissijoitusrahasto Aktia Toimitilakiinteistöt', 'fundType': 'Suomalainen erikoissijoitusrahasto'}, {'fundName': 'Sijoitusrahasto Aktia European High Yield Bond+', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Erikoissijoitusrahasto Aktia Opportunistic Credit II', 'fundType': 'Suomalainen erikoissijoitusrahasto'}]",[],,,,,,[]
19,Aktia Life Insurance Ltd,,0937006-7,,PB 800,,,,20101,ÅBO,Finland,010 247 8300,010 247 8400,https://www.aktia.com/fi/tytaryhtiot/aktia-henkivakuutus,"[{'groupNumber': 3100, 'groupName': 'Life assurance'}]",[],"[{'name': 'Tiia Hartikainen', 'telephoneNumber': '+358 9 183 5522', 'role': ''}]","[{'authorisationName': 'Health'}, {'authorisationName': 'Reinsurance'}, {'authorisationName': 'Life assurance'}, {'authorisationName': 'Unit-linked insurance'}, {'authorisationName': 'Capital redemption operations'}, {'authorisationName': 'Accident'}]",[],[],[],,,,,,[]
20,Alajärven Osuuspankki,,0177600-3,,Keskuskatu 9,,,,62900,ALAJÄRVI,Finland,010 257 7012,010 257 7044,http://www.osuuspankki.fi,"[{'groupNumber': 1130, 'groupName': 'Member cooperative banks'}]",[],"[{'name': 'Sirpa Näkyvä', 'telephoneNumber': '+358 9 183 5359', 'role': ''}]","[{'authorisationName': 'Authorisation (credit institution)'}, {'authorisationName': 'Reception and transmission of orders'}, {'authorisationName': 'Portfolio management'}, {'authorisationName': 'Investment advice'}, {'authorisationName': 'Granting credits or loans to investment services'}, {'authorisationName': 'Safekeeping of financial instruments'}]",[],[],[],,,,,,[]
21,Alajärven Puhelinosuuskunta,,0177601-1,,Kauppakatu 10,,,,62900,Alajärvi,Finland,,,,"[{'groupNumber': 4949, 'groupName': 'Entity providing payment services within a limited network'}]",[],[],[],[],[],[],"Yhtiö välittää puhelinliittymäasiakkailleen eri teleoperaattorien tuottamia televerkon palvelunumeropalveluita. Yhtiön ääniperusteisten palvelujen ostamista varten välittämät maksutapahtumat ovat Maksulaitoslain 297/2010 määrittämän teleyrityspoikkeuksen mukaisia tietoyhteiskuntakaaressa (917/2014) tarkoitetun teleyrityksen viestintäpalvelun käyttöön perustuvan laskutuksensa yhteydessä käyttäjältä perimiä enintään 50 euron määräisiä maksutapahtumia, joiden yhteenlaskettu määrä on enintään 300 euroa kuukaudessa käyttäjää kohden.",,,,,[]
22,ALAMI SERVICES OY,,2477618-8,,Itäkatu 1-5 D 205,,,,00930,HELSINKI,Finland,044 012 2343,,,"[{'groupNumber': 4815, 'groupName': 'Registered service provider (legal person)'}]",[],"[{'name': 'Anni Meriläinen', 'telephoneNumber': '+358 9 183 5050', 'role': ''}, {'name': 'Juha Eerikäinen', 'telephoneNumber': '+358 9 183 5322', 'role': ''}]",[{'authorisationName': 'Registered service provider (legal person)'}],[{'serviceName': '6 Money remittance'}],[],[],,,,,,[]
23,Åland Insurance Ltd,,3125676-2,,PB 64,,,Maarianhamina,22101,Mariehamn,Finland,,,,"[{'groupNumber': 3210, 'groupName': 'Non-life insurance companies'}]",[],"[{'name': 'Tiia Hartikainen', 'telephoneNumber': '+358 9 183 5522', 'role': ''}]","[{'authorisationName': ""Statutory workers' compensation""}, {'authorisationName': 'Health'}, {'authorisationName': 'Land vehicles'}, {'authorisationName': 'Railway rolling stock'}, {'authorisationName': 'Aircraft'}, {'authorisationName': 'Ships'}, {'authorisationName': 'Goods in transit'}, {'authorisationName': 'Fire and natural forces'}, {'authorisationName': 'Other damage to property'}, {'authorisationName': 'Motor vehicle liability'}, {'authorisationName': 'Aircraft liability'}, {'authorisationName': 'Liability for ships'}, {'authorisationName': 'General liability'}, {'authorisationName': 'Credit'}, {'authorisationName': 'Suretyship'}, {'authorisationName': 'Miscellaneous finalcial loss'}, {'authorisationName': 'Legal expenses'}, {'authorisationName': 'Reinsurance'}, {'authorisationName': 'Accident'}]",[],[],[],,,,,,[]
24,"Ålandsbanken Abp (Finland), svensk filial",,,,Stureplan 19,,,,10781,STOCKHOLM,Sweden,,,,"[{'groupNumber': 1610, 'groupName': ""Finnish credit institutions' branches in EEA countries""}]",[],[],"[{'authorisationName': 'Notification of the branch'}, {'authorisationName': 'Notification of the branch'}]",[],[],[],,,,,,[]
25,Ålandsbanken Abps Pensionsstiftelse,,0145072-4,,"c/o Ålandsbanken, Åsa Ceder, PB 3",,,,22101,MARIEHAMN,Finland,0405131125,,,"[{'groupNumber': 3420, 'groupName': 'Company pension funds'}]",[],"[{'name': 'Matti Juntunen', 'telephoneNumber': '+358 9 183 5507', 'role': ''}]",[{'authorisationName': 'Company pension fund is registered'}],[],[],[],,,,,,[]
26,Ålandsbanken Funds Ltd.,,1471362-6,,PB 3,,,,22101,MARIEHAMN,Finland,020 429 011,020 429 1228,http://www.alandsbanken.fi,"[{'groupNumber': 2500, 'groupName': 'Management companies'}, {'groupNumber': 4937, 'groupName': 'Authorised Alternative Investment Fund Managers'}]",[],"[{'name': 'Heidi Tähtinen', 'telephoneNumber': '+358 9 183 5314', 'role': ''}, {'name': 'Kristian Nihtilä', 'telephoneNumber': '+358 9 183 5294', 'role': ' (principal)'}]","[{'authorisationName': 'Alternative Investment Fund Management - Real estate strategy'}, {'authorisationName': 'Alternative Investment Fund Management - Other strategy'}, {'authorisationName': 'Investment fund activity'}, {'authorisationName': 'Activities related to investment funds'}]",[],"[{'fundName': 'Ålandsbanken Lyhyt Yrityskorko Sijoitusrahasto', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Ålandsbanken Euro Bond Sijoitusrahasto', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Ålandsbanken Eurooppa Osake Sijoitusrahasto', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Ålandsbanken Euro High Yield Sijoitusrahasto', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Ålandsbanken Premium 30 Sijoitusrahasto', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Ålandsbanken Premium 50 Sijoitusrahasto', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Ålandsbanken Asuntorahasto Erikoissijoitusrahasto', 'fundType': 'Suomalainen erikoissijoitusrahasto'}, {'fundName': 'Ålandsbanken Pohjoismaat Osake Sijoitusrahasto', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Ålandsbanken Tonttirahasto Erikoissijoitusrahasto', 'fundType': 'Suomalainen erikoissijoitusrahasto'}, {'fundName': 'Ålandsbanken Lunastustontti I Ky', 'fundType': 'Suomalainen muu AIF'}, {'fundName': 'Ålandsbanken Maailma Osake Sijoitusrahasto', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Ålandsbanken Green Bond ESG Sijoitusrahasto', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Ålandsbanken Pohjoismaiset Pienyhtiöt Sijoitusrahasto', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Ålandsbanken Tuulivoima Erikoissijoitusrahasto', 'fundType': 'Suomalainen erikoissijoitusrahasto'}]",[],,,,,,[]
27,Alansa Partner Oy,,1789253-5,,Väinönkatu 28 A 8,,,,40100,JYVÄSKYLÄ,Finland,050 444 0929,,www.alansa.com,"[{'groupNumber': 3510, 'groupName': 'Insurance brokers'}]",[],[],[{'authorisationName': 'Insurance broker is registered'}],[],[],[],,,,,,[]
28,Ala-Satakunnan Osuuspankki,,0139927-9,,Pyhäjärventie 6,,,,27800,SÄKYLÄ,Finland,0102562601,0102562611,http://www.osuuspankki.fi,"[{'groupNumber': 1130, 'groupName': 'Member cooperative banks'}]",[],"[{'name': 'Sirpa Näkyvä', 'telephoneNumber': '+358 9 183 5359', 'role': ''}]","[{'authorisationName': 'Authorisation (credit institution)'}, {'authorisationName': 'Reception and transmission of orders'}, {'authorisationName': 'Portfolio management'}, {'authorisationName': 'Investment advice'}, {'authorisationName': 'Granting credits or loans to investment services'}, {'authorisationName': 'Safekeeping of financial instruments'}]",[],[],[],,,,,,[]
29,Alastaron Osuuspankki,,0132032-1,,Loimijoentie 78,,,,32440,Alastaro,Finland,010 255 5701,010 255 5799,http://www.osuuspankki.fi,"[{'groupNumber': 1130, 'groupName': 'Member cooperative banks'}]",[],"[{'name': 'Sirpa Näkyvä', 'telephoneNumber': '+358 9 183 5359', 'role': ''}]","[{'authorisationName': 'Authorisation (credit institution)'}, {'authorisationName': 'Reception and transmission of orders'}, {'authorisationName': 'Portfolio management'}, {'authorisationName': 'Investment advice'}, {'authorisationName': 'Granting credits or loans to investment services'}, {'authorisationName': 'Safekeeping of financial instruments'}]",[],[],[],,,,,,[]
30,Alavieskan Osuuspankki,,0184670-2,,PL 26,,,,85201,ALAVIESKA,Finland,08 430 131,08 430 510,http://www.osuuspankki.fi,"[{'groupNumber': 1130, 'groupName': 'Member cooperative banks'}]",[],"[{'name': 'Sirpa Näkyvä', 'telephoneNumber': '+358 9 183 5359', 'role': ''}]","[{'authorisationName': 'Authorisation (credit institution)'}, {'authorisationName': 'Reception and transmission of orders'}, {'authorisationName': 'Portfolio management'}, {'authorisationName': 'Investment advice'}, {'authorisationName': 'Granting credits or loans to investment services'}, {'authorisationName': 'Safekeeping of financial instruments'}]",[],[],[],,,,,,[]
31,Alavuden Seudun Osuuspankki,,0177720-9,,Kuulantie 2,,,,63300,ALAVUS,Finland,010 255 0201,010 255 0226,http://www.osuuspankki.fi,"[{'groupNumber': 1130, 'groupName': 'Member cooperative banks'}]",[],"[{'name': 'Sirpa Näkyvä', 'telephoneNumber': '+358 9 183 5359', 'role': ''}]","[{'authorisationName': 'Authorisation (credit institution)'}, {'authorisationName': 'Reception and transmission of orders'}, {'authorisationName': 'Portfolio management'}, {'authorisationName': 'Investment advice'}, {'authorisationName': 'Granting credits or loans to investment services'}, {'authorisationName': 'Safekeeping of financial instruments'}]",[],[],[],,,,,,[]
32,Alexander Corporate Finance Oy,,2000780-8,,"Pohjoisesplanadi 37 A, 7 krs",,,,00100,HELSINKI,Finland,010 292 5810,,www.alexander.fi,"[{'groupNumber': 2400, 'groupName': 'Investment firms'}]",[],"[{'name': 'Raija Railas', 'telephoneNumber': '+358 9 183 5235', 'role': ''}, {'name': 'Katarina Pesola', 'telephoneNumber': '+358 9 183 5243', 'role': ' (principal)'}]","[{'authorisationName': 'Reception and transmission of orders'}, {'authorisationName': 'Placing of financial instruments without a firm commitment basis'}, {'authorisationName': 'Advice on capital structure and mergers'}, {'authorisationName': 'Investment research, financial analysis and general recommendations relating to financial instruments'}]",[],[],[],,,,,,[]
33,Alexandria Fund Management Company Ltd,,1603936-4,,Eteläesplanadi 22 A 3 krs.,,,,00130,HELSINKI,Finland,09 4135 1300,09 4135 1311,http://www.alexandria.fi/web/rahastoyhtio/etusivu,"[{'groupNumber': 2500, 'groupName': 'Management companies'}, {'groupNumber': 4937, 'groupName': 'Authorised Alternative Investment Fund Managers'}]",[],"[{'name': 'Raija Railas', 'telephoneNumber': '+358 9 183 5235', 'role': ''}, {'name': 'Katarina Pesola', 'telephoneNumber': '+358 9 183 5243', 'role': ' (principal)'}, {'name': 'Heidi Tähtinen', 'telephoneNumber': '+358 9 183 5314', 'role': ''}]","[{'authorisationName': 'Alternative Investment Fund Management - Funds of funds strategy'}, {'authorisationName': 'Investment fund activity'}, {'authorisationName': 'Activities related to investment funds'}]",[],"[{'fundName': 'Sijoitusrahasto Alexandria Maailma Osake', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Alexandria Tuottohakuinen', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Alexandria Tasapainoinen', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Alexandria Maltillinen', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Sijoitusrahasto Alexandria Kehittyvät Markkinat Osinko', 'fundType': 'Suomalainen UCITS-rahasto'}, {'fundName': 'Alexandria Kiinteistö Erikoissijoitusrahasto', 'fundType': 'Suomalainen erikoissijoitusrahasto'}, {'fundName': 'Alexandria Vaihtoehtokorko Erikoissijoitusrahasto', 'fundType': 'Suomalainen erikoissijoitusrahasto'}, {'fundName': 'Alexandria Reaaliomaisuus Erikoissijoitusrahasto', 'fundType': 'Suomalainen erikoissijoitusrahasto'}]",[],,,,,,[]
34,Alexandria Markets Ltd,,2510307-3,,Eteläesplanadi 22 A,,,,00130,Helsinki,Finland,,,,"[{'groupNumber': 2400, 'groupName': 'Investment firms'}]",[],"[{'name': 'Raija Railas', 'telephoneNumber': '+358 9 183 5235', 'role': ''}, {'name': 'Katarina Pesola', 'telephoneNumber': '+358 9 183 5243', 'role': ' (principal)'}, {'name': 'Heidi Tähtinen', 'telephoneNumber': '+358 9 183 5314', 'role': ''}]","[{'authorisationName': 'Reception and transmission of orders'}, {'authorisationName': 'Investment advice'}, {'authorisationName': 'Placing of financial instruments without a firm commitment basis'}]",[],[],[],,,,,,[]
